epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4208,2.20899,4.74296,1.86196,0.03896,0.20212,0.03421,0.01864,2.1136,4.18843,1.83211,0.00015554,0.00015554,0.00015554
2,121.851,2.18691,3.95292,1.80723,0.89697,0.1,0.09593,0.05226,1.85872,3.56359,1.66626,0.000311558,0.000311558,0.000311558
3,186.763,1.88691,3.38914,1.6731,0.07106,0.24267,0.07781,0.03746,1.78021,3.57394,1.61691,0.000456577,0.000456577,0.000456577
4,245.235,1.79521,2.96489,1.58864,0.14041,0.28203,0.14915,0.08466,1.70378,3.75344,1.5449,0.000590596,0.000590596,0.000590596
5,303.812,1.80108,2.85271,1.52719,0.14041,0.28203,0.14915,0.08466,1.70378,3.75344,1.5449,0.000713618,0.000713618,0.000713618
6,357.599,1.72865,2.7852,1.44931,0.75631,0.15314,0.15806,0.10243,1.55037,4.18391,1.45369,0.00082564,0.00082564,0.00082564
7,412.286,1.76933,2.79943,1.41741,0.75631,0.15314,0.15806,0.10243,1.55037,4.18391,1.45369,0.000891022,0.000891022,0.000891022
8,468.11,1.7493,2.86927,1.4707,0.58206,0.17166,0.21944,0.14207,1.55133,2.43561,1.39447,0.000854359,0.000854359,0.000854359
9,522.073,1.77548,2.55997,1.48714,0.58206,0.17166,0.21944,0.14207,1.55133,2.43561,1.39447,0.000817696,0.000817696,0.000817696
10,576.215,1.67954,3.00013,1.37074,0.6971,0.26934,0.26729,0.16946,1.40951,2.24252,1.30641,0.000781033,0.000781033,0.000781033
11,629.693,1.64871,2.1213,1.34239,0.6971,0.26934,0.26729,0.16946,1.40951,2.24252,1.30641,0.00074437,0.00074437,0.00074437
12,683.341,1.63233,2.32666,1.40988,0.32933,0.43504,0.34998,0.21688,1.38226,2.0624,1.28704,0.000707707,0.000707707,0.000707707
13,736.648,1.54167,1.96861,1.34198,0.32933,0.43504,0.34998,0.21688,1.38226,2.0624,1.28704,0.000671044,0.000671044,0.000671044
14,789.339,1.69591,2.27131,1.43463,0.64302,0.41088,0.50225,0.33773,1.2334,1.58111,1.18646,0.000634381,0.000634381,0.000634381
15,842.249,1.55993,2.0216,1.30719,0.64302,0.41088,0.50225,0.33773,1.2334,1.58111,1.18646,0.000597718,0.000597718,0.000597718
16,894.141,1.52155,1.94757,1.28557,0.64244,0.4415,0.49044,0.34024,1.17765,1.4231,1.13864,0.000561055,0.000561055,0.000561055
17,946.293,1.48346,1.73586,1.27965,0.64244,0.4415,0.49044,0.34024,1.17765,1.4231,1.13864,0.000524392,0.000524392,0.000524392
18,997.768,1.44745,1.75454,1.30426,0.64244,0.4415,0.49044,0.34024,1.17765,1.4231,1.13864,0.000487729,0.000487729,0.000487729
19,1049.55,1.3505,1.63671,1.22748,0.70424,0.44651,0.5574,0.3862,1.10989,1.34104,1.10021,0.000451066,0.000451066,0.000451066
20,1101.63,1.31171,1.58943,1.1827,0.70424,0.44651,0.5574,0.3862,1.10989,1.34104,1.10021,0.000414403,0.000414403,0.000414403
21,1153.1,1.22709,1.58768,1.16365,0.59672,0.61186,0.63242,0.42878,1.07777,1.23895,1.08636,0.00037774,0.00037774,0.00037774
22,1204.99,1.27554,1.62951,1.18775,0.59672,0.61186,0.63242,0.42878,1.07777,1.23895,1.08636,0.000341077,0.000341077,0.000341077
23,1256.83,1.18023,1.50195,1.14447,0.59262,0.58652,0.60612,0.41936,1.05883,1.27526,1.07963,0.000304414,0.000304414,0.000304414
24,1308.44,1.2129,1.56078,1.15622,0.59262,0.58652,0.60612,0.41936,1.05883,1.27526,1.07963,0.000267751,0.000267751,0.000267751
25,1360.17,1.24072,1.60516,1.1673,0.61555,0.64136,0.65934,0.45498,1.02384,1.21203,1.0598,0.000231088,0.000231088,0.000231088
26,1412.27,1.12625,1.39583,1.16871,0.61555,0.64136,0.65934,0.45498,1.02384,1.21203,1.0598,0.000194425,0.000194425,0.000194425
27,1464.24,1.14134,1.42459,1.13538,0.66106,0.66801,0.70645,0.49569,1.0006,1.13762,1.0442,0.000157762,0.000157762,0.000157762
28,1516.56,1.16498,1.36483,1.11391,0.66106,0.66801,0.70645,0.49569,1.0006,1.13762,1.0442,0.000121099,0.000121099,0.000121099
29,1568.6,1.10711,1.38605,1.08726,0.69987,0.66994,0.71685,0.50505,0.98358,1.09602,1.03404,8.4436e-05,8.4436e-05,8.4436e-05
30,1620.39,1.1932,1.35514,1.12811,0.69987,0.66994,0.71685,0.50505,0.98358,1.09602,1.03404,4.7773e-05,4.7773e-05,4.7773e-05
