epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.2858,0.7947,0.65814,0.91459,0.58327,0.80899,0.63663,0.51102,0.58257,652.995,0.7479,0.00140632,0.000468772,0.00140632,0.000468772,0.00140632,0.000468772,0.00140632,0.000468772
2,50.0697,0.74694,0.59376,0.89996,0.57926,0.85697,0.64963,0.52448,0.56043,669.408,0.73717,0.00283524,0.00094508,0.00283524,0.00094508,0.00283524,0.00094508,0.00283524,0.00094508
3,69.9466,0.7186,0.5665,0.89005,0.58904,0.86391,0.66249,0.5361,0.55002,693.842,0.73308,0.00426385,0.00142128,0.00426385,0.00142128,0.00426385,0.00142128,0.00426385,0.00142128
4,90.1905,0.69963,0.54091,0.87872,0.59168,0.8789,0.67,0.54662,0.53709,704.94,0.72658,0.00428595,0.00142865,0.00428595,0.00142865,0.00428595,0.00142865,0.00428595,0.00142865
5,110.207,0.70292,0.52699,0.87316,0.59259,0.88816,0.67274,0.55252,0.53017,715.825,0.72211,0.00428514,0.00142838,0.00428514,0.00142838,0.00428514,0.00142838,0.00428514,0.00142838
6,129.518,0.68326,0.51326,0.86881,0.59297,0.89286,0.66601,0.54986,0.51865,725.143,0.71677,0.00428409,0.00142803,0.00428409,0.00142803,0.00428409,0.00142803,0.00428409,0.00142803
7,147.382,0.68182,0.51036,0.86329,0.59838,0.89215,0.66673,0.55106,0.51016,731.796,0.71383,0.00428281,0.0014276,0.00428281,0.0014276,0.00428281,0.0014276,0.00428281,0.0014276
8,165.725,0.66222,0.4967,0.86513,0.59888,0.89875,0.66896,0.55309,0.50785,772.03,0.71151,0.0042813,0.0014271,0.0042813,0.0014271,0.0042813,0.0014271,0.0042813,0.0014271
9,184.283,0.67026,0.48639,0.85521,0.6047,0.89821,0.6694,0.557,0.50001,763.125,0.70603,0.00427956,0.00142652,0.00427956,0.00142652,0.00427956,0.00142652,0.00427956,0.00142652
10,202.839,0.65119,0.47764,0.85806,0.60445,0.90442,0.67216,0.56201,0.49661,764.454,0.70329,0.00427758,0.00142586,0.00427758,0.00142586,0.00427758,0.00142586,0.00427758,0.00142586
11,221.71,0.6414,0.4766,0.85425,0.60673,0.90119,0.67546,0.56413,0.49323,760.892,0.70081,0.00427538,0.00142513,0.00427538,0.00142513,0.00427538,0.00142513,0.00427538,0.00142513
12,240.929,0.6498,0.47404,0.84994,0.60316,0.90787,0.67409,0.56208,0.49029,775.117,0.7005,0.00427294,0.00142431,0.00427294,0.00142431,0.00427294,0.00142431,0.00427294,0.00142431
13,259.241,0.6393,0.46489,0.85109,0.60714,0.91317,0.67651,0.56725,0.4815,796.23,0.69691,0.00427027,0.00142342,0.00427027,0.00142342,0.00427027,0.00142342,0.00427027,0.00142342
14,278.073,0.63144,0.46142,0.84639,0.6066,0.91379,0.67416,0.56517,0.47983,781.111,0.69532,0.00426737,0.00142246,0.00426737,0.00142246,0.00426737,0.00142246,0.00426737,0.00142246
15,296.098,0.62546,0.45231,0.84678,0.60508,0.91502,0.67494,0.5664,0.47584,796.22,0.6951,0.00426424,0.00142141,0.00426424,0.00142141,0.00426424,0.00142141,0.00426424,0.00142141
16,314.272,0.62272,0.4504,0.84745,0.60492,0.92014,0.67889,0.57134,0.47434,793.328,0.69363,0.00426087,0.00142029,0.00426087,0.00142029,0.00426087,0.00142029,0.00426087,0.00142029
17,333.22,0.62704,0.44625,0.84427,0.60855,0.92089,0.68035,0.57296,0.47096,815.333,0.69191,0.00425728,0.00141909,0.00425728,0.00141909,0.00425728,0.00141909,0.00425728,0.00141909
18,351.976,0.61936,0.44309,0.84189,0.60629,0.92219,0.68257,0.57698,0.47013,798.879,0.69129,0.00425346,0.00141782,0.00425346,0.00141782,0.00425346,0.00141782,0.00425346,0.00141782
19,370.581,0.62843,0.44647,0.83796,0.60784,0.92634,0.6871,0.57929,0.47057,808.657,0.69174,0.00424941,0.00141647,0.00424941,0.00141647,0.00424941,0.00141647,0.00424941,0.00141647
20,389.452,0.62099,0.43688,0.83894,0.60567,0.92778,0.68649,0.57983,0.46485,806.874,0.68914,0.00424513,0.00141504,0.00424513,0.00141504,0.00424513,0.00141504,0.00424513,0.00141504
21,408.218,0.6082,0.43325,0.83666,0.60526,0.93083,0.68615,0.57973,0.46333,807.537,0.68937,0.00424063,0.00141354,0.00424063,0.00141354,0.00424063,0.00141354,0.00424063,0.00141354
22,426.214,0.59563,0.42562,0.83778,0.60571,0.93199,0.68559,0.58068,0.46428,813.761,0.68908,0.00423589,0.00141196,0.00423589,0.00141196,0.00423589,0.00141196,0.00423589,0.00141196
23,445.768,0.59832,0.42611,0.83944,0.6057,0.93086,0.68584,0.58138,0.46428,818.427,0.68852,0.00423093,0.00141031,0.00423093,0.00141031,0.00423093,0.00141031,0.00423093,0.00141031
24,464.636,0.60195,0.42028,0.83544,0.60872,0.93137,0.68758,0.58434,0.45671,824.651,0.68679,0.00422575,0.00140858,0.00422575,0.00140858,0.00422575,0.00140858,0.00422575,0.00140858
