epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.84251,2.13343,8.15418,1.88431,0.52409,0.0625,0.00702,0.00163,1.89707,5.16202,1.8784,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05
2,5.69134,2.03962,10.1688,1.87306,0.00861,0.0625,0.00402,0.00132,2.04323,5.39115,1.97613,0.000450078,0.000150026,0.000450078,0.000150026,0.000450078,0.000150026,0.000450078,0.000150026
3,7.79394,1.95834,7.50035,1.84819,0.00321,0.1875,0.00358,0.00107,1.99651,5.56596,1.95954,0.000700064,0.000233355,0.000700064,0.000233355,0.000700064,0.000233355,0.000700064,0.000233355
4,9.65127,2.03223,6.76342,1.88819,0.0091,0.45833,0.01709,0.01072,2.00755,5.5208,1.9729,0.000949958,0.000316653,0.000949958,0.000316653,0.000949958,0.000316653,0.000949958,0.000316653
5,11.6538,1.90765,5.8798,1.85516,0.00913,0.39583,0.01739,0.01293,2.01371,5.21491,1.93647,0.00119972,0.000399906,0.00119972,0.000399906,0.00119972,0.000399906,0.00119972,0.000399906
6,13.6768,1.83865,4.88419,1.75433,0.00718,0.45833,0.01812,0.01274,1.87982,4.93422,1.86168,0.00144931,0.000483102,0.00144931,0.000483102,0.00144931,0.000483102,0.00144931,0.000483102
7,15.817,1.75081,5.53959,1.73653,0.2228,0.08333,0.05548,0.03744,1.81538,4.47928,1.79761,0.00169868,0.000566226,0.00169868,0.000566226,0.00169868,0.000566226,0.00169868,0.000566226
8,17.6419,1.73614,4.03035,1.69576,0.19714,0.08333,0.10297,0.0739,1.69522,4.10767,1.73659,0.0019478,0.000649266,0.0019478,0.000649266,0.0019478,0.000649266,0.0019478,0.000649266
9,19.6318,1.50946,3.78045,1.61094,0.28727,0.08333,0.17669,0.13079,1.58893,3.50498,1.64036,0.00219662,0.000732207,0.00219662,0.000732207,0.00219662,0.000732207,0.00219662,0.000732207
10,21.5273,1.52192,3.68261,1.56441,0.39109,0.14583,0.25021,0.17322,1.37325,3.1784,1.5047,0.00244511,0.000815036,0.00244511,0.000815036,0.00244511,0.000815036,0.00244511,0.000815036
11,23.5369,1.33076,3.32008,1.44086,0.3057,0.22917,0.22268,0.16292,1.08796,2.93029,1.33841,0.00269322,0.000897739,0.00269322,0.000897739,0.00269322,0.000897739,0.00269322,0.000897739
12,25.2626,1.09823,2.90701,1.30604,0.59803,0.375,0.39065,0.28735,1.1209,2.5521,1.2911,0.00294091,0.000980304,0.00294091,0.000980304,0.00294091,0.000980304,0.00294091,0.000980304
13,27.1487,1.16818,2.74614,1.36022,0.9093,0.3599,0.47313,0.3485,1.12366,2.41076,1.27757,0.00318815,0.00106272,0.00318815,0.00106272,0.00318815,0.00106272,0.00318815,0.00106272
14,29.1153,0.88381,6.22434,1.04195,0.40548,0.33452,0.34951,0.23651,1.09288,2.76972,1.3992,0.00343489,0.00114496,0.00343489,0.00114496,0.00343489,0.00114496,0.00343489,0.00114496
