epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.75714,1.7832,7.09212,1.65098,0.19547,0.3256,0.16977,0.11613,1.2087,3.29252,1.33808,0.00040008,0.00013336,0.00040008,0.00013336,0.00040008,0.00013336,0.00040008,0.00013336
2,5.97778,1.7643,5.84404,1.63079,0.1441,0.25,0.10686,0.07307,1.60522,3.5137,1.49933,0.000850147,0.000283382,0.000850147,0.000283382,0.000850147,0.000283382,0.000850147,0.000283382
3,8.17439,1.65654,5.11398,1.57533,0.14278,0.25,0.08728,0.05262,1.64978,3.74734,1.50992,0.00130012,0.000433373,0.00130012,0.000433373,0.00130012,0.000433373,0.00130012,0.000433373
4,10.2657,1.64878,4.61035,1.54839,0.03764,0.25,0.03918,0.02645,1.24371,3.98603,1.35476,0.00174992,0.000583307,0.00174992,0.000583307,0.00174992,0.000583307,0.00174992,0.000583307
5,12.1758,1.63957,5.96706,1.46462,0.02792,0.25,0.04798,0.03659,1.1997,3.62712,1.30532,0.00219948,0.000733162,0.00219948,0.000733162,0.00219948,0.000733162,0.00219948,0.000733162
6,14.0103,1.40674,4.3234,1.4535,0.03834,0.625,0.04659,0.03444,1.07637,3.36588,1.26036,0.00264873,0.000882911,0.00264873,0.000882911,0.00264873,0.000882911,0.00264873,0.000882911
7,15.9297,1.49297,3.92814,1.52609,0.18356,0.125,0.09557,0.0575,1.12644,3.49902,1.24201,0.00309759,0.00103253,0.00309759,0.00103253,0.00309759,0.00103253,0.00309759,0.00103253
8,17.8716,1.46339,4.01262,1.45836,0.15854,0.25,0.11635,0.0626,1.02509,3.35071,1.13723,0.00354599,0.001182,0.00354599,0.001182,0.00354599,0.001182,0.00354599,0.001182
9,19.8022,1.22963,4.29286,1.30599,0.22681,0.33529,0.13201,0.06949,1.12175,3.21815,1.20723,0.00399385,0.00133128,0.00399385,0.00133128,0.00399385,0.00133128,0.00399385,0.00133128
10,21.6828,1.26578,3.28038,1.33028,0.21523,0.25,0.23311,0.10617,0.94496,3.15707,1.12285,0.00444111,0.00148037,0.00444111,0.00148037,0.00444111,0.00148037,0.00444111,0.00148037
11,23.8018,1.18911,3.15829,1.35022,0.6489,0.26691,0.25052,0.11389,0.92848,2.99069,1.05687,0.00488769,0.00162923,0.00488769,0.00162923,0.00488769,0.00162923,0.00488769,0.00162923
12,25.4995,1.08574,3.01931,1.27549,0.66416,0.375,0.17396,0.09222,0.85036,2.81706,1.06749,0.00498459,0.00166153,0.00498459,0.00166153,0.00498459,0.00166153,0.00498459,0.00166153
13,27.317,1.00358,3.16315,1.26261,0.74238,0.25,0.20147,0.09243,0.90522,2.82195,1.07379,0.00498148,0.00166049,0.00498148,0.00166049,0.00498148,0.00166049,0.00498148,0.00166049
14,29.1299,1.0735,2.54981,1.17962,0.65708,0.25,0.18722,0.09636,0.7765,2.88958,1.04834,0.0049781,0.00165937,0.0049781,0.00165937,0.0049781,0.00165937,0.0049781,0.00165937
15,31.1262,1.00704,2.68774,1.23896,0.96899,0.125,0.16357,0.14933,0.71779,2.73468,0.96074,0.00497444,0.00165815,0.00497444,0.00165815,0.00497444,0.00165815,0.00497444,0.00165815
16,33.1167,0.95804,2.34978,1.1862,0.97841,0.125,0.19119,0.15601,0.6819,2.66096,0.92393,0.00497052,0.00165684,0.00497052,0.00165684,0.00497052,0.00165684,0.00497052,0.00165684
17,35.1595,0.85416,2.26879,1.0823,0.97997,0.125,0.21373,0.16977,0.69695,2.47773,0.97731,0.00496633,0.00165544,0.00496633,0.00165544,0.00496633,0.00165544,0.00496633,0.00165544
18,37.0519,0.97484,2.41189,1.14714,0.17946,0.25,0.28181,0.23823,0.69467,2.2991,0.94135,0.00496188,0.00165396,0.00496188,0.00165396,0.00496188,0.00165396,0.00496188,0.00165396
19,39.2939,1.09498,3.16532,1.39666,0.71228,0.49968,0.51079,0.43098,0.70364,2.06369,0.94073,0.00495715,0.00165238,0.00495715,0.00165238,0.00495715,0.00165238,0.00495715,0.00165238
20,41.1874,0.76963,2.69805,0.97502,0.6559,0.5,0.57473,0.48305,0.65044,1.78667,0.9593,0.00495216,0.00165072,0.00495216,0.00165072,0.00495216,0.00165072,0.00495216,0.00165072
21,43.1281,0.87285,2.07246,1.14598,0.71704,0.64922,0.70335,0.57635,0.66964,1.53908,0.99486,0.0049469,0.00164897,0.0049469,0.00164897,0.0049469,0.00164897,0.0049469,0.00164897
22,45.05,0.84996,1.91348,1.09836,0.75399,0.72965,0.7444,0.59468,0.68801,1.40937,1.00889,0.00494138,0.00164713,0.00494138,0.00164713,0.00494138,0.00164713,0.00494138,0.00164713
23,47.1804,0.9351,1.75924,1.15282,0.75993,0.73443,0.73739,0.60259,0.60215,1.36143,0.92583,0.00493559,0.0016452,0.00493559,0.0016452,0.00493559,0.0016452,0.00493559,0.0016452
24,49.3111,0.70507,2.4964,0.91776,0.76858,0.8186,0.82833,0.70665,0.5165,1.32373,0.8499,0.00492954,0.00164318,0.00492954,0.00164318,0.00492954,0.00164318,0.00492954,0.00164318
25,51.3722,0.83933,1.57993,1.14502,0.94618,0.75,0.85214,0.74808,0.48706,1.23008,0.81566,0.00492323,0.00164108,0.00492323,0.00164108,0.00492323,0.00164108,0.00492323,0.00164108
26,53.3706,0.70693,1.42383,1.03093,0.8872,0.75,0.8572,0.78031,0.44483,1.17161,0.7929,0.00491665,0.00163888,0.00491665,0.00163888,0.00491665,0.00163888,0.00491665,0.00163888
27,55.5395,1.00968,1.8325,1.18141,0.87033,0.75,0.83691,0.76931,0.44412,1.01459,0.78106,0.00490981,0.0016366,0.00490981,0.0016366,0.00490981,0.0016366,0.00490981,0.0016366
28,57.4649,0.69992,2.07158,0.92585,0.93923,0.75,0.86679,0.80749,0.40817,0.90144,0.75,0.00490271,0.00163424,0.00490271,0.00163424,0.00490271,0.00163424,0.00490271,0.00163424
29,59.5437,0.74951,1.32583,1.01286,0.94255,0.75926,0.92556,0.87727,0.4033,0.82938,0.74557,0.00489534,0.00163178,0.00489534,0.00163178,0.00489534,0.00163178,0.00489534,0.00163178
30,61.5931,0.82545,1.25769,1.10126,0.83396,0.875,0.92556,0.85856,0.38524,0.74359,0.73214,0.00488772,0.00162924,0.00488772,0.00162924,0.00488772,0.00162924,0.00488772,0.00162924
31,63.4803,0.72892,1.50347,1.05905,0.87221,0.94766,0.97,0.91651,0.37851,0.68224,0.73407,0.00487984,0.00162661,0.00487984,0.00162661,0.00487984,0.00162661,0.00487984,0.00162661
32,65.5201,0.68332,1.90843,0.96963,0.86359,0.99073,0.97,0.92266,0.37037,0.63377,0.73454,0.0048717,0.0016239,0.0048717,0.0016239,0.0048717,0.0016239,0.0048717,0.0016239
33,67.5855,0.64998,1.55606,1.04302,0.95401,0.98607,0.995,0.94115,0.36726,0.55248,0.73734,0.0048633,0.0016211,0.0048633,0.0016211,0.0048633,0.0016211,0.0048633,0.0016211
34,69.6496,0.56378,1.05821,0.96095,0.98403,1,0.995,0.94526,0.34705,0.52125,0.73196,0.00485465,0.00161822,0.00485465,0.00161822,0.00485465,0.00161822,0.00485465,0.00161822
35,71.759,0.63013,1.09254,0.98724,0.93463,0.97791,0.995,0.94223,0.36201,0.55276,0.74614,0.00484574,0.00161525,0.00484574,0.00161525,0.00484574,0.00161525,0.00484574,0.00161525
36,73.6346,0.64653,0.9765,0.98689,0.91714,0.875,0.97,0.93525,0.35912,0.62296,0.74328,0.00483658,0.00161219,0.00483658,0.00161219,0.00483658,0.00161219,0.00483658,0.00161219
37,75.5112,0.62939,1.14055,0.94834,0.82754,0.875,0.95333,0.88813,0.38863,0.72954,0.76104,0.00482716,0.00160905,0.00482716,0.00160905,0.00482716,0.00160905,0.00482716,0.00160905
38,77.4642,0.57977,1.04485,1.01936,0.88808,0.875,0.97,0.91453,0.39754,0.63314,0.76307,0.00481749,0.00160583,0.00481749,0.00160583,0.00481749,0.00160583,0.00481749,0.00160583
39,79.3747,0.58887,0.91007,0.93844,0.91905,0.875,0.97,0.91455,0.409,0.55385,0.76838,0.00480757,0.00160252,0.00480757,0.00160252,0.00480757,0.00160252,0.00480757,0.00160252
40,81.2852,1.21432,2.65635,1.23743,0.94023,0.875,0.97,0.902,0.42586,0.51554,0.77388,0.0047974,0.00159913,0.0047974,0.00159913,0.0047974,0.00159913,0.0047974,0.00159913
41,83.2212,0.50495,0.91628,0.92446,0.94135,0.875,0.97,0.902,0.43658,0.5062,0.77219,0.00478698,0.00159566,0.00478698,0.00159566,0.00478698,0.00159566,0.00478698,0.00159566
42,85.1042,0.59963,0.77149,0.97639,0.95698,0.875,0.97,0.90613,0.44927,0.46781,0.77963,0.00477631,0.0015921,0.00477631,0.0015921,0.00477631,0.0015921,0.00477631,0.0015921
43,87.1152,0.77499,1.79601,1.0466,0.9348,0.98757,0.995,0.92868,0.47527,0.40665,0.78602,0.0047654,0.00158847,0.0047654,0.00158847,0.0047654,0.00158847,0.0047654,0.00158847
44,88.9201,0.56054,0.91707,0.99123,0.98313,0.89111,0.995,0.91632,0.47018,0.43403,0.78443,0.00475424,0.00158475,0.00475424,0.00158475,0.00475424,0.00158475,0.00475424,0.00158475
45,90.7339,0.54197,1.08425,0.97508,0.97127,0.9083,0.995,0.92873,0.45116,0.43888,0.77302,0.00474283,0.00158094,0.00474283,0.00158094,0.00474283,0.00158094,0.00474283,0.00158094
46,92.6683,0.67284,1.01458,0.96727,0.88418,0.99525,0.995,0.92915,0.43857,0.45662,0.7664,0.00473119,0.00157706,0.00473119,0.00157706,0.00473119,0.00157706,0.00473119,0.00157706
47,94.4062,0.55449,1.0017,0.9015,0.88189,0.99132,0.97,0.89663,0.43131,0.46257,0.76345,0.0047193,0.0015731,0.0047193,0.0015731,0.0047193,0.0015731,0.0047193,0.0015731
48,96.0758,0.65474,0.97429,0.98214,1,0.93499,0.995,0.91673,0.42937,0.47148,0.76189,0.00470717,0.00156906,0.00470717,0.00156906,0.00470717,0.00156906,0.00470717,0.00156906
49,97.8644,0.53414,0.93877,0.98049,0.97926,0.98414,0.995,0.92071,0.41201,0.44448,0.76102,0.0046948,0.00156493,0.0046948,0.00156493,0.0046948,0.00156493,0.0046948,0.00156493
50,99.7514,0.49252,0.77622,0.93118,0.86754,0.98752,0.97,0.89813,0.40801,0.51397,0.76235,0.00468219,0.00156073,0.00468219,0.00156073,0.00468219,0.00156073,0.00468219,0.00156073
51,101.717,0.6603,0.82332,0.97331,0.88367,1,0.97,0.89802,0.41492,0.64815,0.76897,0.00466935,0.00155645,0.00466935,0.00155645,0.00466935,0.00155645,0.00466935,0.00155645
52,103.494,0.51988,0.68552,0.92857,0.87827,1,0.945,0.87546,0.4132,0.73336,0.76838,0.00465627,0.00155209,0.00465627,0.00155209,0.00465627,0.00155209,0.00465627,0.00155209
53,105.386,0.57343,0.63422,0.90662,0.87513,1,0.945,0.88486,0.39568,0.70273,0.76311,0.00464295,0.00154765,0.00464295,0.00154765,0.00464295,0.00154765,0.00464295,0.00154765
54,107.18,0.48337,0.65952,0.86573,0.87641,1,0.945,0.88488,0.40294,0.65837,0.76063,0.00462941,0.00154314,0.00462941,0.00154314,0.00462941,0.00154314,0.00462941,0.00154314
