epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1642,1.28806,0.73305,0.91116,0.77641,0.69561,0.74398,0.386,1.15908,0.65746,0.72899,0.0021,0.0021,0.0021
2,73.9428,1.3692,0.75479,0.90926,0.78462,0.69254,0.74402,0.37397,1.212,0.66683,0.72972,0.00429996,0.00429996,0.00429996
3,102.649,1.47412,0.79706,0.91129,0.77142,0.6875,0.73432,0.35635,1.25731,0.69303,0.73016,0.00649975,0.00649975,0.00649975
4,129.898,1.5115,0.84222,0.91723,0.74655,0.69031,0.7219,0.34797,1.27773,0.71347,0.73075,0.00869923,0.00869923,0.00869923
5,156.872,1.55311,0.8571,0.92908,0.74844,0.68326,0.71478,0.3537,1.25232,0.73022,0.73368,0.00999844,0.00999844,0.00999844
6,183.785,1.51409,0.85381,0.934,0.74728,0.68031,0.71548,0.35518,1.23111,0.71678,0.73384,0.00999756,0.00999756,0.00999756
7,211.119,1.48308,0.83377,0.93263,0.75537,0.67678,0.7205,0.36386,1.20825,0.698,0.73723,0.00999648,0.00999648,0.00999648
8,237.938,1.47135,0.82556,0.93393,0.75838,0.67358,0.71866,0.36902,1.18335,0.68785,0.7361,0.00999521,0.00999521,0.00999521
9,265.049,1.46366,0.81446,0.9322,0.75235,0.67298,0.71758,0.36404,1.19639,0.68575,0.73688,0.00999375,0.00999375,0.00999375
10,292.513,1.45487,0.79885,0.93067,0.76401,0.68189,0.72459,0.36802,1.18721,0.67595,0.73779,0.00999209,0.00999209,0.00999209
11,320.102,1.44482,0.79503,0.93067,0.7617,0.6793,0.72348,0.3697,1.18905,0.6724,0.73778,0.00999023,0.00999023,0.00999023
12,348.188,1.43325,0.78937,0.93332,0.75099,0.65421,0.69438,0.34793,1.22124,0.70731,0.75027,0.00998818,0.00998818,0.00998818
13,375.743,1.43105,0.789,0.93265,0.76212,0.68255,0.72778,0.37764,1.15281,0.66578,0.7354,0.00998594,0.00998594,0.00998594
14,403.118,1.42245,0.7839,0.93211,0.76032,0.6889,0.72764,0.37748,1.15656,0.68778,0.73574,0.0099835,0.0099835,0.0099835
15,430.039,1.41024,0.7788,0.92934,0.76532,0.68306,0.72875,0.37766,1.16436,0.66447,0.73629,0.00998086,0.00998086,0.00998086
16,457.415,1.42056,0.77994,0.93181,0.76084,0.68127,0.72504,0.37244,1.15226,0.65787,0.73527,0.00997803,0.00997803,0.00997803
17,484.942,1.39276,0.77263,0.92917,0.76674,0.69482,0.73865,0.38533,1.1347,0.65049,0.73313,0.00997501,0.00997501,0.00997501
18,512.316,1.40556,0.77824,0.92685,0.76019,0.68149,0.71893,0.36476,1.19187,0.6761,0.73834,0.00997179,0.00997179,0.00997179
19,539.443,1.40064,0.76858,0.92693,0.76521,0.68493,0.72582,0.37053,1.16234,0.66023,0.73795,0.00996838,0.00996838,0.00996838
20,567.156,1.38856,0.76916,0.92581,0.7723,0.698,0.73808,0.38158,1.14047,0.657,0.73587,0.00996477,0.00996477,0.00996477
21,594.566,1.38956,0.77035,0.92871,0.77065,0.68307,0.72772,0.3686,1.16672,0.65579,0.73593,0.00996097,0.00996097,0.00996097
22,622.106,1.38859,0.76794,0.92808,0.77357,0.69813,0.73972,0.38641,1.13114,0.64995,0.73518,0.00995697,0.00995697,0.00995697
23,651.567,1.37621,0.76022,0.92522,0.77923,0.69688,0.74137,0.38214,1.15385,0.65618,0.73503,0.00995278,0.00995278,0.00995278
24,680.1,1.38943,0.76197,0.92737,0.77312,0.67185,0.72088,0.37135,1.16723,0.68676,0.74477,0.0099484,0.0099484,0.0099484
25,708.162,1.38727,0.75379,0.92348,0.77727,0.7001,0.7439,0.38885,1.13654,0.64578,0.73317,0.00994383,0.00994383,0.00994383
