epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78394,2.09189,2.14402,1.6923,0.32158,0.34641,0.20488,0.09209,1.96854,2.34359,1.72595,0.00017148,0.00017148,0.00017148
2,7.43344,1.79709,1.66958,1.51236,0.2892,0.41453,0.22792,0.11562,1.70862,2.05783,1.54653,0.00035724,0.00035724,0.00035724
3,10.1908,1.58846,1.51634,1.33013,0.28459,0.4341,0.25489,0.14862,1.45408,1.89643,1.36477,0.000542961,0.000542961,0.000542961
4,13.3086,1.34572,1.41858,1.19112,0.27831,0.52364,0.28112,0.16705,1.24743,1.86439,1.22428,0.000728612,0.000728612,0.000728612
5,15.9135,1.25356,1.35233,1.15167,0.32989,0.50189,0.29601,0.1781,1.18463,1.90214,1.17788,0.000914163,0.000914163,0.000914163
6,19.1426,1.17169,1.28718,1.12062,0.42091,0.47393,0.34579,0.21645,1.13327,1.88997,1.14495,0.00109958,0.00109958,0.00109958
7,21.7587,1.13245,1.17549,1.07585,0.4245,0.52814,0.38855,0.24689,1.0617,1.76558,1.11583,0.00128484,0.00128484,0.00128484
8,25.0824,1.13643,1.1572,1.06483,0.41311,0.5524,0.42899,0.27547,1.00714,1.5923,1.0873,0.0014271,0.0014271,0.0014271
9,30.4321,1.0734,1.09514,1.05651,0.41311,0.5524,0.42899,0.27547,1.00714,1.5923,1.0873,0.00142652,0.00142652,0.00142652
10,33.1275,1.06017,1.02919,1.03735,0.41666,0.629,0.43711,0.29345,0.97228,1.51482,1.07397,0.00142586,0.00142586,0.00142586
11,35.6355,1.04766,1.04027,1.02046,0.43625,0.6708,0.45327,0.30952,0.97108,1.46572,1.06317,0.00142513,0.00142513,0.00142513
12,38.1027,0.99555,0.9392,0.97963,0.47571,0.66115,0.48341,0.32592,0.96877,1.40654,1.05098,0.00142431,0.00142431,0.00142431
13,41.0493,0.98321,0.9819,1.02844,0.47509,0.73804,0.49873,0.34916,0.94689,1.41049,1.04921,0.00142342,0.00142342,0.00142342
14,43.6508,0.96946,0.92796,0.98226,0.50115,0.71723,0.52643,0.37155,0.93748,1.42933,1.0483,0.00142246,0.00142246,0.00142246
15,46.8549,0.96743,0.88208,0.97861,0.50115,0.71723,0.52643,0.37155,0.93748,1.42933,1.0483,0.00142141,0.00142141,0.00142141
16,49.9032,0.92891,0.86663,0.98232,0.52121,0.7432,0.55651,0.39819,0.9259,1.43282,1.04629,0.00142029,0.00142029,0.00142029
17,52.6067,0.90732,0.86122,0.98688,0.53127,0.72023,0.56344,0.40502,0.92435,1.40409,1.04386,0.00141909,0.00141909,0.00141909
18,55.4293,0.90534,0.84821,0.96842,0.51809,0.75375,0.58734,0.42097,0.91801,1.39602,1.04253,0.00141782,0.00141782,0.00141782
19,58.2563,0.91385,0.84525,0.97697,0.53804,0.76595,0.59548,0.43113,0.89862,1.3942,1.03688,0.00141647,0.00141647,0.00141647
20,61.003,0.91908,0.82137,0.96084,0.53804,0.76595,0.59548,0.43113,0.89862,1.3942,1.03688,0.00141504,0.00141504,0.00141504
21,63.4254,0.86939,0.80093,0.94927,0.53814,0.79598,0.59962,0.43407,0.88549,1.36378,1.03381,0.00141354,0.00141354,0.00141354
22,66.698,0.85684,0.80021,0.96043,0.55269,0.75497,0.60324,0.43986,0.87379,1.28559,1.02557,0.00141196,0.00141196,0.00141196
23,69.2022,0.87466,0.78826,0.95828,0.54949,0.78506,0.60592,0.44661,0.86749,1.26472,1.02135,0.00141031,0.00141031,0.00141031
24,71.4672,0.85689,0.78494,0.97312,0.55581,0.77727,0.61336,0.45192,0.85693,1.29287,1.01964,0.00140858,0.00140858,0.00140858
25,74.1798,0.87629,0.78863,0.95704,0.55581,0.77727,0.61336,0.45192,0.85693,1.29287,1.01964,0.00140678,0.00140678,0.00140678
26,77.0639,0.82109,0.71952,0.93354,0.5468,0.76408,0.61488,0.45729,0.85137,1.31952,1.01949,0.0014049,0.0014049,0.0014049
27,79.7194,0.90435,0.77314,0.9431,0.54636,0.76061,0.61383,0.45956,0.84178,1.31,1.01844,0.00140294,0.00140294,0.00140294
28,82.6742,0.84934,0.77059,0.94678,0.54952,0.79092,0.61261,0.46099,0.82979,1.30604,1.0106,0.00140091,0.00140091,0.00140091
29,85.7661,0.81687,0.71432,0.93121,0.54904,0.79551,0.62378,0.47307,0.82896,1.28549,1.0041,0.00139881,0.00139881,0.00139881
30,90.378,0.83834,0.68337,0.92721,0.54551,0.83402,0.63243,0.48702,0.82759,1.27341,0.9994,0.00139663,0.00139663,0.00139663
31,93.3615,0.80813,0.68793,0.93571,0.54551,0.83402,0.63243,0.48702,0.82759,1.27341,0.9994,0.00139438,0.00139438,0.00139438
32,96.1018,0.79983,0.67219,0.93368,0.56181,0.84743,0.64116,0.4943,0.82854,1.26946,0.9966,0.00139205,0.00139205,0.00139205
33,98.8607,0.81029,0.68284,0.92181,0.56378,0.85582,0.64311,0.49883,0.81345,1.25201,0.99101,0.00138965,0.00138965,0.00138965
34,101.903,0.80454,0.67504,0.92746,0.56601,0.85316,0.64782,0.50496,0.80504,1.21563,0.98774,0.00138718,0.00138718,0.00138718
35,104.928,0.77632,0.65439,0.91926,0.57131,0.8336,0.64835,0.49996,0.80342,1.18127,0.98665,0.00138464,0.00138464,0.00138464
36,106.908,0.81039,0.70484,0.94127,0.57131,0.8336,0.64835,0.49996,0.80342,1.18127,0.98665,0.00138202,0.00138202,0.00138202
37,109.107,0.81777,0.66721,0.9141,0.57458,0.84376,0.64749,0.49282,0.80495,1.15973,0.98501,0.00137933,0.00137933,0.00137933
38,111.349,0.76052,0.63794,0.90678,0.58044,0.83161,0.65449,0.50241,0.79511,1.16263,0.97887,0.00137656,0.00137656,0.00137656
39,113.71,0.78048,0.63777,0.9084,0.58907,0.81196,0.65447,0.50232,0.7864,1.17417,0.97395,0.00137373,0.00137373,0.00137373
40,115.957,0.79338,0.6461,0.90624,0.58738,0.82051,0.65999,0.51298,0.78133,1.16197,0.97036,0.00137082,0.00137082,0.00137082
41,118.747,0.7714,0.64402,0.92095,0.58738,0.82051,0.65999,0.51298,0.78133,1.16197,0.97036,0.00136785,0.00136785,0.00136785
42,121.526,0.78455,0.61402,0.90997,0.5916,0.86668,0.66568,0.51487,0.77441,1.13906,0.96866,0.0013648,0.0013648,0.0013648
43,124.709,0.7536,0.61152,0.90638,0.58394,0.86371,0.66136,0.51936,0.76619,1.13896,0.96573,0.00136168,0.00136168,0.00136168
44,127.409,0.71685,0.59724,0.90461,0.59046,0.84515,0.66152,0.51967,0.76025,1.16423,0.96354,0.00135849,0.00135849,0.00135849
45,130.448,0.74119,0.63299,0.92652,0.57552,0.87446,0.66083,0.51661,0.76512,1.16383,0.9604,0.00135523,0.00135523,0.00135523
46,132.368,0.72751,0.58733,0.89654,0.57653,0.86617,0.66269,0.5267,0.75767,1.13142,0.95673,0.0013519,0.0013519,0.0013519
47,134.877,0.7254,0.59853,0.90144,0.57653,0.86617,0.66269,0.5267,0.75767,1.13142,0.95673,0.00134851,0.00134851,0.00134851
48,137.442,0.73459,0.58163,0.89671,0.58707,0.84227,0.65739,0.52462,0.74825,1.12618,0.95196,0.00134504,0.00134504,0.00134504
49,139.574,0.77207,0.60201,0.89894,0.57576,0.86231,0.66124,0.53061,0.75118,1.14042,0.95411,0.0013415,0.0013415,0.0013415
50,142.147,0.76195,0.59946,0.89559,0.57866,0.83869,0.65803,0.52847,0.75903,1.14587,0.9575,0.0013379,0.0013379,0.0013379
51,144.186,0.73875,0.58695,0.90128,0.58773,0.83879,0.66667,0.53478,0.76256,1.13002,0.96323,0.00133423,0.00133423,0.00133423
52,146.591,0.72822,0.57319,0.89065,0.58773,0.83879,0.66667,0.53478,0.76256,1.13002,0.96323,0.0013305,0.0013305,0.0013305
53,149.157,0.72315,0.55954,0.89229,0.60889,0.81887,0.6688,0.53549,0.76055,1.11422,0.95989,0.00132669,0.00132669,0.00132669
